auction ID,lot,Buyer,Seller,Agent,Auctioneer,Breed,Quantity,Selling Price,Seller Auction ID,Buyer Auction ID,PassedIn,Buyer Auction Date,Seller Auction Date,Buyer Auction Time,Seller Auction Time
C1619,26,Meghan Dalton,Hermione Compton,Jane Jetson,Jane Jetson,Angus X,16,37536.00,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,77,Meghan Dalton,Burch Farms,Jane Jetson,Jane Jetson,Charolais,13,34032.96,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,102,Meghan Dalton,Illiana Maldonado,Dave Doppler,Dave Doppler,Angus,4,7329.96,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,145,Meghan Dalton,Juliet Hayes,Homer Palin,Ralph Wigwam,Angus,9,17701.74,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,164,Meghan Dalton,Juliet Hayes,Homer Palin,Ralph Wigwam,Hereford,16,41142.40,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,189,Meghan Dalton,Macdonald Farms,Donald Quagley,Donald Quagley,Fresian X,2,6651.18,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,218,Meghan Dalton,Cecilia Trading,Michael Krueger,Donald Quagley,Fresian,10,25367.40,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,222,Meghan Dalton,Cecilia Trading,Michael Krueger,Donald Quagley,Angus,8,24498.24,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,235,Meghan Dalton,Germane Blackburn,Leonardo Capris,Micheal Angel,Angus,2,4925.46,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,249,Meghan Dalton,Ayala Farms,David Sidebottom,Donald Quagley,Fresian X,13,22094.80,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,259,Meghan Dalton,Hardin Farms,Homer Palin,Ralph Wigwam,Fresian,15,25845.30,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,9,Valenzuela Farms,Grady Blevins,Bart O'Keefe,Jane Jetson,Angus,12,22212.00,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,17,Valenzuela Farms,Meghan Dalton,Ralph Wigwam,Ralph Wigwam,Charolais,6,11186.40,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,87,Valenzuela Farms,Carr Farms,Homer Palin,Micheal Angel,Charolais,20,45273.60,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,95,Valenzuela Farms,Adena Rich,Dave Doppler,Dave Doppler,Angus,8,23114.00,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,111,Valenzuela Farms,Daniel Farms,Donald Quagley,Donald Quagley,Angus,12,22069.80,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,140,Valenzuela Farms,Brody Stanley,Bart O'Keefe,Jane Jetson,Angus,8,18012.00,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,173,Valenzuela Farms,Carr Farms,Homer Palin,Micheal Angel,Angus X,11,31788.90,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,176,Valenzuela Farms,Hermione Compton,Jane Jetson,Jane Jetson,Angus X,11,18399.48,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,195,Valenzuela Farms,Camden Hatfield,Lisa Andrewson,Jane Jetson,Angus,13,24954.93,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,199,Valenzuela Farms,Burch Farms,Jane Jetson,Jane Jetson,Fresian X,9,14774.40,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,210,Valenzuela Farms,Cecilia Trading,Michael Krueger,Donald Quagley,Angus,19,53735.80,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,220,Valenzuela Farms,Brody Stanley,Bart O'Keefe,Jane Jetson,Angus,4,11178.24,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,242,Valenzuela Farms,Burch Farms,Jane Jetson,Jane Jetson,Angus,9,17562.96,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,243,Valenzuela Farms,Camden Hatfield,Lisa Andrewson,Jane Jetson,Angus X,8,26216.32,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,24,Melissa Ruiz,Cecilia Trading,Michael Krueger,Donald Quagley,Hereford,14,25368.42,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,61,Melissa Ruiz,Meghan Dalton,Ralph Wigwam,Ralph Wigwam,Angus,8,15992.64,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,64,Melissa Ruiz,Germane Blackburn,Leonardo Capris,Micheal Angel,Hereford,5,13113.00,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,68,Melissa Ruiz,Gannon Trading,Jane Jetson,Jane Jetson,Fresian,3,9498.96,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,88,Melissa Ruiz,Kylynn Trading,Michael Krueger,Donald Quagley,Fresian,7,22408.75,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,110,Melissa Ruiz,Brody Stanley,Bart O'Keefe,Jane Jetson,Angus,20,34537.60,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
C1619,126,Melissa Ruiz,Gannon Trading,Jane Jetson,Jane Jetson,Angus X,1,3371.69,1619,1619,"N,2020-08-03,2020-08-03,11:00:00,11:00:00
