Auction ID,Client ID,Client Name,Address 1,Address 2,Address 3,Province,Contact Person,Phone,Phone 2,Email,Preferred Number,Total Value,Attendance
1619,ADE85,Adena Rich,4150 Rdenari Road,RD11,Timaru,South Canterbury,Adena Rich,(03)475-1010,(021)109-8042,Adena.Rich@emailProvide.co.nz,69,33140,"N
1620,ADE85,Adena Rich,4150 Rdenari Road,RD11,Timaru,South Canterbury,Adena Rich,(03)475-1010,(021)109-8042,Adena.Rich@emailProvide.co.nz,69,33140,"N
1621,ADE85,Adena Rich,4150 Rdenari Road,RD11,Timaru,South Canterbury,Adena Rich,(03)475-1010,(021)109-8042,Adena.Rich@emailProvide.co.nz,69,33140,"N
1619,AIK33,Aiko Swanson,840 Sswanso Road,RD9,Oamaru,North Otago,Aiko Swanson,(03)226-7194,(021)310-3802,Aiko.Swanson@emailProvide.co.nz,49,23184,"N
1620,AIK33,Aiko Swanson,840 Sswanso Road,RD9,Oamaru,North Otago,Aiko Swanson,(03)226-7194,(021)310-3802,Aiko.Swanson@emailProvide.co.nz,49,23184,"N
1621,AIK33,Aiko Swanson,840 Sswanso Road,RD9,Oamaru,North Otago,Aiko Swanson,(03)226-7194,(021)310-3802,Aiko.Swanson@emailProvide.co.nz,49,23184,"N
1619,ANA22,Anastasia Trading,2025 Mtasiat Road,RD10,Oamaru,North Otago,Anastasia Mckinney,(03)505-3328,(021)260-6630,Anastasia.Trading@emailProvide.co.nz,79,533175,"N
1620,ANA22,Anastasia Trading,2025 Mtasiat Road,RD10,Oamaru,North Otago,Anastasia Mckinney,(03)505-3328,(021)260-6630,Anastasia.Trading@emailProvide.co.nz,79,533175,"N
1621,ANA22,Anastasia Trading,2025 Mtasiat Road,RD10,Oamaru,North Otago,Anastasia Mckinney,(03)505-3328,(021)260-6630,Anastasia.Trading@emailProvide.co.nz,79,533175,"N
1619,AUT58,Autumn Mooney,626 Mumnmoone Road,RD13,Waimate,South Canterbury,Autumn Mooney,(03)493-7738,(021)483-5527,Autumn.Mooney@emailProvide.co.nz,75,1121459,"N
1620,AUT58,Autumn Mooney,626 Mumnmoone Road,RD13,Waimate,South Canterbury,Autumn Mooney,(03)493-7738,(021)483-5527,Autumn.Mooney@emailProvide.co.nz,75,1121459,"N
1621,AUT58,Autumn Mooney,626 Mumnmoone Road,RD13,Waimate,South Canterbury,Autumn Mooney,(03)493-7738,(021)483-5527,Autumn.Mooney@emailProvide.co.nz,75,1121459,"N
1619,AYA18,Ayala Farms,1947 Aalafa Road,RD6,Oamaru,North Otago,Remedios Ayala,(03)095-9008,(021)285-8981,Ayala.Farms@emailProvide.co.nz,40,106775,"N
1620,AYA18,Ayala Farms,1947 Aalafa Road,RD6,Oamaru,North Otago,Remedios Ayala,(03)095-9008,(021)285-8981,Ayala.Farms@emailProvide.co.nz,40,106775,"N
1621,AYA18,Ayala Farms,1947 Aalafa Road,RD6,Oamaru,North Otago,Remedios Ayala,(03)095-9008,(021)285-8981,Ayala.Farms@emailProvide.co.nz,40,106775,"N
1619,BAR45,Barrett Fuller,3421 Frrettf Road,RD8,Oamaru,North Otago,Barrett Fuller,(03)886-8586,(021)286-6582,Barrett.Fuller@emailProvide.co.nz,"N,8280,"N
1620,BAR45,Barrett Fuller,3421 Frrettf Road,RD8,Oamaru,North Otago,Barrett Fuller,(03)886-8586,(021)286-6582,Barrett.Fuller@emailProvide.co.nz,"N,8280,"N
1621,BAR45,Barrett Fuller,3421 Frrettf Road,RD8,Oamaru,North Otago,Barrett Fuller,(03)886-8586,(021)286-6582,Barrett.Fuller@emailProvide.co.nz,"N,8280,"N
1620,BAR49,Barclay Barr,2089 Bclayb Road,RD5,Waimate,South Canterbury,Barclay Barr,(03)802-7225,(021)745-2142,Barclay.Barr@emailProvide.co.nz,"N,110088,"N
1619,BAR49,Barclay Barr,2089 Bclayb Road,RD5,Waimate,South Canterbury,Barclay Barr,(03)802-7225,(021)745-2142,Barclay.Barr@emailProvide.co.nz,"N,110088,"N
1621,BAR49,Barclay Barr,2089 Bclayb Road,RD5,Waimate,South Canterbury,Barclay Barr,(03)802-7225,(021)745-2142,Barclay.Barr@emailProvide.co.nz,"N,110088,"N
1619,BIA84,Bianca Foster,913 Fiancaf Road,RD12,Timaru,South Canterbury,Bianca Foster,(03)435-0867,(021)656-6917,Bianca.Foster@emailProvide.co.nz,65,758691,"N
1620,BIA84,Bianca Foster,913 Fiancaf Road,RD12,Timaru,South Canterbury,Bianca Foster,(03)435-0867,(021)656-6917,Bianca.Foster@emailProvide.co.nz,65,758691,"N
1621,BIA84,Bianca Foster,913 Fiancaf Road,RD12,Timaru,South Canterbury,Bianca Foster,(03)435-0867,(021)656-6917,Bianca.Foster@emailProvide.co.nz,65,758691,"N
1619,BRE87,Brent Ramirez,2177 Rntrami Road,RD12,Timaru,South Canterbury,Brent Ramirez,(03)358-8312,(021)353-3396,Brent.Ramirez@emailProvide.co.nz,58,"N,"N
1620,BRE87,Brent Ramirez,2177 Rntrami Road,RD12,Timaru,South Canterbury,Brent Ramirez,(03)358-8312,(021)353-3396,Brent.Ramirez@emailProvide.co.nz,58,"N,"N
