auction ID,lot,Buyer,Seller,Agent,Auctioneer,Breed,Quantity,Selling Price,Seller Auction ID,Buyer Auction ID,PassedIn,Buyer Auction Date,Seller Auction Date,Buyer Auction Time,Seller Auction Time
S1620,126,Meghan Dalton,Hermione Compton,Jane Jetson,Jane Jetson,Merino,80,8240.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,175,Meghan Dalton,Burch Farms,Jane Jetson,Jane Jetson,Merino,65,5590.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,199,Meghan Dalton,Illiana Maldonado,Dave Doppler,Dave Doppler,Romney,20,1780.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,240,Meghan Dalton,Juliet Hayes,Homer Palin,Ralph Wigwam,Romney,45,3960.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,259,Meghan Dalton,Juliet Hayes,Homer Palin,Ralph Wigwam,Suffolk X,80,7120.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,284,Meghan Dalton,Macdonald Farms,Donald Quagley,Donald Quagley,Merino,10,980.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,313,Meghan Dalton,Cecilia Trading,Michael Krueger,Donald Quagley,Merino,50,4550.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,317,Meghan Dalton,Cecilia Trading,Michael Krueger,Donald Quagley,Romney,40,4040.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,330,Meghan Dalton,Germane Blackburn,Leonardo Capris,Micheal Angel,Romney,10,920.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,344,Meghan Dalton,Ayala Farms,David Sidebottom,Donald Quagley,Merino,65,5460.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,354,Meghan Dalton,Hardin Farms,Homer Palin,Ralph Wigwam,Merino,75,6300.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,109,Valenzuela Farms,Fitzpatrick Farms,Bart O'Keefe,Jane Jetson,Romney,60,5400.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,117,Valenzuela Farms,Meghan Dalton,Ralph Wigwam,Ralph Wigwam,Merino,30,2820.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,185,Valenzuela Farms,Carr Farms,Homer Palin,Micheal Angel,Merino,100,8600.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,193,Valenzuela Farms,Adena Rich,Dave Doppler,Dave Doppler,Romney,40,3880.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,207,Valenzuela Farms,Daniel Farms,Donald Quagley,Donald Quagley,Romney,60,6000.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,235,Valenzuela Farms,Brody Stanley,Bart O'Keefe,Jane Jetson,Romney,40,3400.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,268,Valenzuela Farms,Carr Farms,Homer Palin,Micheal Angel,Merino,55,5555.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,271,Valenzuela Farms,Hermione Compton,Jane Jetson,Jane Jetson,Merino,55,5225.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,290,Valenzuela Farms,Camden Hatfield,Lisa Andrewson,Jane Jetson,Romney,65,5395.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,294,Valenzuela Farms,Burch Farms,Jane Jetson,Jane Jetson,Merino,45,4320.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,305,Valenzuela Farms,Cecilia Trading,Michael Krueger,Donald Quagley,Romney,95,8930.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,315,Valenzuela Farms,Brody Stanley,Bart O'Keefe,Jane Jetson,Romney,20,1700.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,337,Valenzuela Farms,Burch Farms,Jane Jetson,Jane Jetson,Romney,45,4635.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,338,Valenzuela Farms,Camden Hatfield,Lisa Andrewson,Jane Jetson,Merino,40,3560.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,124,Melissa Ruiz,Cecilia Trading,Michael Krueger,Donald Quagley,Suffolk X,70,6020.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,159,Melissa Ruiz,Meghan Dalton,Ralph Wigwam,Ralph Wigwam,Romney,40,3880.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,162,Melissa Ruiz,Germane Blackburn,Leonardo Capris,Micheal Angel,Suffolk X,25,2100.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,166,Melissa Ruiz,Gannon Trading,Jane Jetson,Jane Jetson,Merino,15,1500.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,186,Melissa Ruiz,Kylynn Trading,Michael Krueger,Donald Quagley,Merino,35,3395.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,206,Melissa Ruiz,Brody Stanley,Bart O'Keefe,Jane Jetson,Romney,100,10300.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,221,Melissa Ruiz,Gannon Trading,Jane Jetson,Jane Jetson,Merino,5,510.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,272,Melissa Ruiz,Hasad Harrington,Alister Byng,Alister Byng,Merino,40,3160.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,107,Roary Gillespie,Carr Farms,Homer Palin,Micheal Angel,Merino,90,8010.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,140,Roary Gillespie,Brent Ramirez,Jane Jetson,Jane Jetson,Romney,25,2225.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,178,Roary Gillespie,Meghan Dalton,Ralph Wigwam,Ralph Wigwam,Romney,75,7275.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,196,Roary Gillespie,Juliet Hayes,Homer Palin,Ralph Wigwam,Merino,55,5225.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,216,Roary Gillespie,Samson Pollard,Micheal Angel,Micheal Angel,Romney,15,1380.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,220,Roary Gillespie,Hermione Compton,Jane Jetson,Jane Jetson,Romney,80,7760.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,255,Roary Gillespie,Rosales Farms,Michael Krueger,Micheal Angel,Romney,85,6630.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,303,Roary Gillespie,Bright Farms,Donald Quagley,Donald Quagley,Merino,60,6180.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,341,Roary Gillespie,Fitzpatrick Farms,Bart O'Keefe,Jane Jetson,Merino,25,2250.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,349,Roary Gillespie,Samson Pollard,Micheal Angel,Micheal Angel,Merino,100,7900.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,101,Marshall Leach,Gannon Trading,Jane Jetson,Jane Jetson,Romney,70,6650.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,102,Marshall Leach,Bianca Foster,Bart O'Keefe,Ralph Wigwam,Merino,10,900.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,125,Marshall Leach,Burch Farms,Jane Jetson,Jane Jetson,Romney,40,3440.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,141,Marshall Leach,Illiana Maldonado,Dave Doppler,Dave Doppler,Romney,100,8100.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
S1620,161,Marshall Leach,Samson Pollard,Micheal Angel,Micheal Angel,Merino,60,5880.00,1620,1620,"N,2019-08-10,2019-08-10,11:30:00,11:30:00
